# brand / brand_alias 기준 파일 (정본). 이 파일이 003-seed.sql의 brand·brand_alias 블록을 만든다.
# 규칙과 근거는 docs/erd.md §2.3, 생성 방법은 scripts/README.md 참고.
#
# alias 는 반드시 정규화형으로 적는다 — 소문자화 후 공백과 . - _ ( ) & , ' 제거.
# 예: "메가MGC커피" -> 메가mgc커피 / "S-OIL" -> soil / "SSG.COM" -> ssgcom
#
# brand_id 는 임의로 바꾸지 않는다. service_brand 197행이 이 ID를 참조한다.
brand_id,brand_name,category_id,alias,alias_type
8,이마트,2,이마트,OFFICIAL
8,이마트,2,emart,ENGLISH
9,롯데마트,2,롯데마트,OFFICIAL
9,롯데마트,2,lottemart,ENGLISH
10,홈플러스,2,홈플러스,OFFICIAL
10,홈플러스,2,homeplus,ENGLISH
11,스타벅스,1,스타벅스,OFFICIAL
11,스타벅스,1,starbucks,ENGLISH
11,스타벅스,1,스타벅스커피,KOREAN
15,GS25,2,gs25,OFFICIAL
15,GS25,2,지에스25,KOREAN
16,CU,2,cu,OFFICIAL
16,CU,2,씨유,KOREAN
17,세븐일레븐,2,세븐일레븐,OFFICIAL
17,세븐일레븐,2,7eleven,ENGLISH
17,세븐일레븐,2,세븐일레븐코리아,KOREAN
18,이마트24,2,이마트24,OFFICIAL
18,이마트24,2,emart24,ENGLISH
18,이마트24,2,위드미,LEGACY
19,올리브영,2,올리브영,OFFICIAL
19,올리브영,2,oliveyoung,ENGLISH
19,올리브영,2,씨제이올리브영,KOREAN
20,다이소,2,다이소,OFFICIAL
20,다이소,2,daiso,ENGLISH
20,다이소,2,아성다이소,KOREAN
21,투썸플레이스,1,투썸플레이스,OFFICIAL
21,투썸플레이스,1,twosomeplace,ENGLISH
21,투썸플레이스,1,투썸,SHORT
22,이디야커피,1,이디야커피,OFFICIAL
22,이디야커피,1,ediya,ENGLISH
22,이디야커피,1,이디야,SHORT
23,메가MGC커피,1,메가mgc커피,OFFICIAL
23,메가MGC커피,1,메가엠지씨커피,KOREAN
23,메가MGC커피,1,메가커피,SHORT
24,파리바게뜨,1,파리바게뜨,OFFICIAL
24,파리바게뜨,1,parisbaguette,ENGLISH
24,파리바게뜨,1,파리바게트,LEGACY
24,파리바게뜨,1,파바,SHORT
25,배스킨라빈스,1,배스킨라빈스,OFFICIAL
25,배스킨라빈스,1,baskinrobbins,ENGLISH
25,배스킨라빈스,1,배스킨라빈스31,KOREAN
25,배스킨라빈스,1,배라,SHORT
28,SK에너지,6,sk에너지,OFFICIAL
28,SK에너지,6,에스케이에너지,KOREAN
29,GS칼텍스,6,gs칼텍스,OFFICIAL
29,GS칼텍스,6,지에스칼텍스,KOREAN
36,스타필드,3,스타필드,OFFICIAL
36,스타필드,3,starfield,ENGLISH
37,롯데월드타워,3,롯데월드타워,OFFICIAL
37,롯데월드타워,3,롯데월드몰,SHORT
38,롯데몰,3,롯데몰,OFFICIAL
38,롯데몰,3,lottemall,ENGLISH
39,트레이더스,2,트레이더스,OFFICIAL
39,트레이더스,2,traders,ENGLISH
39,트레이더스,2,이마트트레이더스,KOREAN
40,롯데VIC마켓,2,롯데vic마켓,OFFICIAL
40,롯데VIC마켓,2,롯데빅마켓,KOREAN
40,롯데VIC마켓,2,빅마켓,SHORT
41,커피빈,1,커피빈,OFFICIAL
41,커피빈,1,coffeebean,ENGLISH
41,커피빈,1,커피빈코리아,KOREAN
42,엔제리너스,1,엔제리너스,OFFICIAL
42,엔제리너스,1,angelinus,ENGLISH
42,엔제리너스,1,엔젤리너스,LEGACY
45,폴바셋,1,폴바셋,OFFICIAL
45,폴바셋,1,paulbassett,ENGLISH
46,농협하나로마트,2,농협하나로마트,OFFICIAL
46,농협하나로마트,2,nh농협하나로마트,KOREAN
46,농협하나로마트,2,하나로마트,SHORT
46,농협하나로마트,2,하나로클럽,SHORT
53,HD현대오일뱅크,6,hd현대오일뱅크,OFFICIAL
53,HD현대오일뱅크,6,현대오일뱅크,LEGACY
53,HD현대오일뱅크,6,오일뱅크,SHORT
54,S-OIL,6,soil,OFFICIAL
54,S-OIL,6,에스오일,KOREAN
55,아웃백,4,아웃백,OFFICIAL
55,아웃백,4,outbacksteakhouse,ENGLISH
55,아웃백,4,아웃백스테이크하우스,KOREAN
56,VIPS,4,vips,OFFICIAL
56,VIPS,4,빕스,KOREAN
57,던킨도너츠,1,던킨도너츠,OFFICIAL
57,던킨도너츠,1,dunkindonuts,ENGLISH
57,던킨도너츠,1,던킨도넛츠,LEGACY
57,던킨도너츠,1,던킨,SHORT
58,파스쿠찌,1,파스쿠찌,OFFICIAL
58,파스쿠찌,1,pascucci,ENGLISH
