keyword,matchCount,categoryId
11번가,59,3
AK몰,1,3
CU,1503,2
GS25,5985,2
GS칼텍스,9,6
G마켓,1,3
HD현대오일뱅크,4,6
S-OIL,1,6
SK에너지,190,6
SSG.COM,1,3
VIPS,3,4
경양식,179,4
구내식당,1293,4
기념품점,18,3
김밥,12957,4
꽃집,1030,3
나이키,156,3
농협하나로마트,484,2
다이소,427,2
던킨도너츠,337,1
도넛,368,1
땡겨요,1,4
롯데VIC마켓,1,2
롯데마트,896,2
롯데몰,348,3
롯데월드타워,15,3
롯데홈쇼핑,4,3
룰루레몬,11,3
메가MGC커피,94,1
무신사,31,3
배달의민족,21,4
배스킨라빈스,1240,1
버거,3619,4
뷔페,2534,4
생맥주,147,4
서점,3306,3
성형외과,1261,5
세븐일레븐,9398,2
슈퍼마켓,520,2
스타벅스,24,1
스타필드,623,3
아웃백,90,4
아이스크림,4286,2
약국,24862,5
에이블리,18,3
엔젤리너스,20,1
옥션,154,3
올리브영,1606,2
외과,4758,5
요기요,46,4
요양병원,901,5
이디야커피,1203,1
이마트,7864,2
이마트24,5355,2
정육점,3784,2
족발,7200,4
주유소,10917,6
중국집,117,4
지그재그,14,3
치과병원,237,5
치과의원,9937,5
치킨,20793,4
카페,35759,1
칼국수,8681,4
커피빈,359,1
컬리,189,3
쿠팡,45,3
쿠팡이츠,3,4
텐바이텐,1,3
투썸플레이스,1575,1
트레이더스,183,2
파리바게뜨,2601,1
파스쿠찌,402,1
패밀리레스토랑,4,4
편의점,2267,2
포잉,9,3
폴바셋,115,1
피자,10149,4
한과,238,2
한방병원,598,5
한의원,10402,5
한정식,588,4
홈플러스,1625,2
횟집,5291,4
