lat,lng,densityTier,keyword,categoryId,storeId
37.293428,127.005403,4,피자,5,462910
35.645741,128.736122,2,버거,4,1059666
35.180153,129.171729,2,피자,2,1464465
37.722655,128.973949,1,쿠팡,1,63242
37.481722,127.595878,2,나이키,4,343699
37.735030,127.043458,6,아이스크림 할인점,2,146351
35.175798,126.889556,4,파스쿠찌,1,1106445
37.486669,126.780577,7,투썸플레이스,4,457280
37.351515,127.107535,7,정육점,4,716871
37.531735,126.964648,6,생맥주 전문,1,1612491
36.804721,127.144564,5,배스킨라빈스,4,2540106
36.609268,127.484069,4,피자,1,2583343
33.478574,126.462651,2,주유소,4,2400061
36.086325,129.391917,3,롯데월드타워,1,964990
37.373136,127.106007,6,서점,2,566251
35.150735,129.055576,7,백반/한정식,3,1354544
37.559131,126.835482,7,CU,3,1757742
37.843752,127.060386,3,카페,2,614862
36.527140,127.824186,2,투썸플레이스,5,2641415
36.785017,126.453480,6,이마트,1,2511966
37.648836,127.114776,3,엔젤리너스,1,554740
37.524874,126.897238,7,홈플러스,3,1852528
37.246096,126.579267,1,이디야커피,2,363373
37.367812,127.934128,3,HD현대오일뱅크,4,72712
34.989248,128.677896,1,VIPS,6,864747
37.278372,127.157953,5,중국집,4,256095
37.546754,126.842501,6,SK에너지,1,1778524
37.009839,128.139648,1,약국,4,2650025
33.501187,126.472783,2,배스킨라빈스,3,2421367
35.235402,128.905782,4,투썸플레이스,6,870945
35.061440,128.970172,3,카페,6,1403126
37.530068,126.871688,5,스타필드,1,1980259
37.647743,127.126706,6,AK몰,2,469041
37.395224,126.653011,6,정육점,3,2195312
37.573787,127.001264,7,엔젤리너스,4,1784044
37.399105,127.113850,6,피자,2,284442
34.743649,127.731197,6,요기요,1,2291337
37.205018,127.121958,2,던킨도너츠,3,741877
35.321765,126.868562,1,아웃백,3,2294299
34.786148,127.689326,2,뷔페,2,2299726
36.391896,127.347242,3,올리브영,4,1271883
35.220066,129.120226,2,파리바게뜨,4,1447125
37.836495,127.507490,4,주유소,4,2662740
36.802908,127.138183,3,빵/도넛,2,2467243
37.779764,128.880880,1,엔젤리너스,4,27365
37.524781,126.896226,7,정육점,4,1991247
36.126711,128.334137,5,S-OIL,1,973471
37.901154,127.198355,5,AK몰,6,301336
35.932803,126.949140,5,편의점,4,2358022
37.433728,127.492266,1,스타벅스,3,698170
34.950473,127.526796,6,꽃집,4,2213958
37.509672,126.962926,4,정육점,1,1483858
35.417006,127.398279,3,HD현대오일뱅크,2,2301410
37.298621,126.809539,3,치킨,1,479441
37.301019,127.118670,2,롯데VIC마켓,3,213216
37.498060,126.681005,3,배스킨라빈스,3,2153876
37.534980,126.740255,5,롯데몰,2,2097101
35.844100,129.202824,3,치킨,1,947126
37.491944,126.928855,7,에이블리,3,1972475
37.736513,128.859679,1,치킨,5,39930
35.828908,127.168058,5,이마트24,5,2375938
37.502231,127.009644,6,주유소,2,1743107
37.611852,126.920743,6,이디야커피,4,1991947
37.614502,126.927518,4,백반/한정식,2,1899166
36.020019,129.369793,4,아웃백,4,933734
37.400554,126.917637,7,지그재그,2,529871
36.809961,127.112377,6,경양식,4,2545655
37.446107,126.795319,6,국수/칼국수,2,629612
37.489900,126.979230,7,이디야커피,4,1977382
37.304481,126.972553,6,아웃백,1,2664466
37.910107,127.742440,2,약국,1,2661451
36.554477,128.728495,2,국수/칼국수,4,1017217
35.536044,129.319452,6,중국집,4,2066669
37.373568,127.939133,3,쿠팡이츠,6,26880
37.539514,127.147979,3,쿠팡이츠,2,1917617
36.481050,127.259643,3,서점,4,2016375
35.814653,127.090779,4,올리브영,6,2343566
35.523331,129.315415,6,요기요,4,2048384
35.178214,128.976170,6,HD현대오일뱅크,3,1385969
35.069339,126.519995,3,서점,3,2297206
35.611696,129.453932,1,파스쿠찌,1,2043852
35.161426,129.110683,5,구내식당,4,1336311
35.086282,129.045292,6,투썸플레이스,3,1459717
37.269537,127.037550,4,11번가,2,566439
37.811514,127.135237,2,배스킨라빈스,1,258882
35.136026,129.097507,3,피자,4,1351435
35.684555,127.902682,2,아이스크림 할인점,4,843816
37.512524,126.898019,6,던킨도너츠,1,1765998
37.363024,126.930055,7,치킨,2,249590
